Paper ID,Problem ROR,Institution Name,Type,Ground Truth RORs,Predicted RORs
2311.06712,https://ror.org/02en5vm52,UPMC (Universite Pierre and Marie Curie),False Negative (missed),"['https://ror.org/02en5vm52', 'https://ror.org/01tgyzw49']","['https://ror.org/04jztag35', 'https://ror.org/05783y657', 'https://ror.org/015p9va32', 'https://ror.org/00e73ws79', 'https://ror.org/036wvzt09', 'https://ror.org/02crz6e12', 'https://ror.org/01tgyzw49', 'https://ror.org/00wk2mp56', 'https://ror.org/02e7b5302', 'https://ror.org/017zhmm22']"
2311.04632,https://ror.org/01yc7t268,Washington University in St. Louis,False Negative (missed),"['https://ror.org/042nb2s44', 'https://ror.org/0061x0487', 'https://ror.org/04p491231', 'https://ror.org/05qwgg493', 'https://ror.org/03t78wx29', 'https://ror.org/05f0yaq80', 'https://ror.org/04dkp9463', 'https://ror.org/02gh4kt33', 'https://ror.org/052gg0110', 'https://ror.org/02jx3x895', 'https://ror.org/03rmrcq20', 'https://ror.org/04chrp450', 'https://ror.org/03vek6s52', 'https://ror.org/026vcq606', 'https://ror.org/04ka0vh05', 'https://ror.org/047s2c258', 'https://ror.org/02gfc7t72', 'https://ror.org/02rx3b187', 'https://ror.org/035t8zc32', 'https://ror.org/00f54p054', 'https://ror.org/05vghhr25', 'https://ror.org/01yc7t268', 'https://ror.org/03a1kwz48']","['https://ror.org/034zgem50', 'https://ror.org/042nb2s44', 'https://ror.org/05ect4e57', 'https://ror.org/04p491231', 'https://ror.org/00pg6eq24', 'https://ror.org/023znxa73', 'https://ror.org/05qwgg493', 'https://ror.org/05f0yaq80', 'https://ror.org/04dkp9463', 'https://ror.org/03n4ayy20', 'https://ror.org/043pgqy52', 'https://ror.org/01h9x6t73', 'https://ror.org/02trn6p95', 'https://ror.org/052gg0110', 'https://ror.org/05symbg58', 'https://ror.org/03r06fs10', 'https://ror.org/02jx3x895', 'https://ror.org/03rmrcq20', 'https://ror.org/04chrp450', 'https://ror.org/04ez3r306', 'https://ror.org/01rmh9n78', 'https://ror.org/0395sep02', 'https://ror.org/027ka1x80', 'https://ror.org/02zhqgq86', 'https://ror.org/045dz8764', 'https://ror.org/01vj6ck58', 'https://ror.org/026vcq606', 'https://ror.org/01pp8nd67', 'https://ror.org/02epydz83', 'https://ror.org/00pwqz914', 'https://ror.org/047s2c258', 'https://ror.org/01hjzeq58', 'https://ror.org/00xy44n04', 'https://ror.org/053avzc18', 'https://ror.org/02rx3b187', 'https://ror.org/035t8zc32', 'https://ror.org/02vv5y108', 'https://ror.org/00gqsp710', 'https://ror.org/00f54p054', 'https://ror.org/01sjwvz98', 'https://ror.org/05vghhr25', 'https://ror.org/02c9qn167', 'https://ror.org/03a1kwz48']"
2311.04632,https://ror.org/02gh4kt33,Italian Institute for Astrophysics (INAF),False Negative (missed),"['https://ror.org/042nb2s44', 'https://ror.org/0061x0487', 'https://ror.org/04p491231', 'https://ror.org/05qwgg493', 'https://ror.org/03t78wx29', 'https://ror.org/05f0yaq80', 'https://ror.org/04dkp9463', 'https://ror.org/02gh4kt33', 'https://ror.org/052gg0110', 'https://ror.org/02jx3x895', 'https://ror.org/03rmrcq20', 'https://ror.org/04chrp450', 'https://ror.org/03vek6s52', 'https://ror.org/026vcq606', 'https://ror.org/04ka0vh05', 'https://ror.org/047s2c258', 'https://ror.org/02gfc7t72', 'https://ror.org/02rx3b187', 'https://ror.org/035t8zc32', 'https://ror.org/00f54p054', 'https://ror.org/05vghhr25', 'https://ror.org/01yc7t268', 'https://ror.org/03a1kwz48']","['https://ror.org/034zgem50', 'https://ror.org/042nb2s44', 'https://ror.org/05ect4e57', 'https://ror.org/04p491231', 'https://ror.org/00pg6eq24', 'https://ror.org/023znxa73', 'https://ror.org/05qwgg493', 'https://ror.org/05f0yaq80', 'https://ror.org/04dkp9463', 'https://ror.org/03n4ayy20', 'https://ror.org/043pgqy52', 'https://ror.org/01h9x6t73', 'https://ror.org/02trn6p95', 'https://ror.org/052gg0110', 'https://ror.org/05symbg58', 'https://ror.org/03r06fs10', 'https://ror.org/02jx3x895', 'https://ror.org/03rmrcq20', 'https://ror.org/04chrp450', 'https://ror.org/04ez3r306', 'https://ror.org/01rmh9n78', 'https://ror.org/0395sep02', 'https://ror.org/027ka1x80', 'https://ror.org/02zhqgq86', 'https://ror.org/045dz8764', 'https://ror.org/01vj6ck58', 'https://ror.org/026vcq606', 'https://ror.org/01pp8nd67', 'https://ror.org/02epydz83', 'https://ror.org/00pwqz914', 'https://ror.org/047s2c258', 'https://ror.org/01hjzeq58', 'https://ror.org/00xy44n04', 'https://ror.org/053avzc18', 'https://ror.org/02rx3b187', 'https://ror.org/035t8zc32', 'https://ror.org/02vv5y108', 'https://ror.org/00gqsp710', 'https://ror.org/00f54p054', 'https://ror.org/01sjwvz98', 'https://ror.org/05vghhr25', 'https://ror.org/02c9qn167', 'https://ror.org/03a1kwz48']"
2311.05687,https://ror.org/02en5vm52,UPMC (Universite Pierre and Marie Curie),False Negative (missed),"['https://ror.org/02en5vm52', 'https://ror.org/029nkcm90']","['https://ror.org/022bnxw24', 'https://ror.org/01qb1sw63', 'https://ror.org/058pyyv44', 'https://ror.org/03mrbr458', 'https://ror.org/029nkcm90']"
2311.15849,https://ror.org/02en5vm52,UPMC (Universite Pierre and Marie Curie),False Negative (missed),"['https://ror.org/02en5vm52', 'https://ror.org/029nkcm90']","['https://ror.org/011htkb76', 'https://ror.org/00e73ws79', 'https://ror.org/01dr6c206', 'https://ror.org/02n7qrg46', 'https://ror.org/040r57n67', 'https://ror.org/02feahw73', 'https://ror.org/029nkcm90']"
2311.12093,https://ror.org/00jjx8s55,Commissariat à l’Énergie Atomique (CEA),False Negative (missed),"['https://ror.org/00jjx8s55', 'https://ror.org/029nkcm90']","['https://ror.org/03sry2h30', 'https://ror.org/03ykbk197', 'https://ror.org/01ee9ar58', 'https://ror.org/05f82e368']"
2311.09972,https://ror.org/000e0be47,Northwestern University,False Negative (missed),"['https://ror.org/000e0be47', 'https://ror.org/025r5qe02']","['https://ror.org/00m6w7z96', 'https://ror.org/025r5qe02']"
2311.13427,https://ror.org/02gh4kt33,Italian Institute for Astrophysics (INAF),False Negative (missed),"['https://ror.org/01v29qb04', 'https://ror.org/02gh4kt33', 'https://ror.org/027bh9e22', 'https://ror.org/04jsz6e67', 'https://ror.org/05a28rw58']","['https://ror.org/01v29qb04', 'https://ror.org/03es66g06', 'https://ror.org/053pw6b94', 'https://ror.org/00e73ws79', 'https://ror.org/027bh9e22', 'https://ror.org/03re3pg25', 'https://ror.org/000k1q888', 'https://ror.org/01nrxwf90', 'https://ror.org/016kj2436', 'https://ror.org/05mzfcs16', 'https://ror.org/05a28rw58']"
2311.15541,https://ror.org/046rm7j60,"University of California, Los Angeles",False Positive (wrongly predicted),['https://ror.org/04gyf1771'],"['https://ror.org/046rm7j60', 'https://ror.org/04fa4r544', 'https://ror.org/04gyf1771']"
2311.18815,https://ror.org/05p8z3f47,Purdue University,False Negative (missed),['https://ror.org/05p8z3f47'],"['https://ror.org/040tqga17', 'https://ror.org/02dqehb95', 'https://ror.org/00e73ws79']"
2311.07967,https://ror.org/00hx57361,Princeton University,False Positive (wrongly predicted),[],"['https://ror.org/03x42jk29', 'https://ror.org/01kq4t285', 'https://ror.org/02fzxed89', 'https://ror.org/00hx57361']"
2311.17915,https://ror.org/046rm7j60,"University of California, Los Angeles",False Positive (wrongly predicted),"['https://ror.org/01an7q238', 'https://ror.org/02jbv0t02']","['https://ror.org/03eh3y714', 'https://ror.org/04kfyt897', 'https://ror.org/03kgj4539', 'https://ror.org/02vv5y108', 'https://ror.org/01an7q238', 'https://ror.org/02jbv0t02', 'https://ror.org/046rm7j60', 'https://ror.org/005ta0471']"
2311.05315,https://ror.org/00jc20583,University of Colorado,False Negative (missed),"['https://ror.org/00jc20583', 'https://ror.org/04zrf7b53', 'https://ror.org/0316ej306']","['https://ror.org/01qrts582', 'https://ror.org/054spjc55', 'https://ror.org/042cesy50', 'https://ror.org/0316ej306']"
2311.07641,https://ror.org/000e0be47,Northwestern University,False Negative (missed),"['https://ror.org/047426m28', 'https://ror.org/000e0be47']","['https://ror.org/04yvx5a03', 'https://ror.org/00e73ws79', 'https://ror.org/047426m28', 'https://ror.org/00m6w7z96', 'https://ror.org/05abbep66', 'https://ror.org/052gg0110']"
2311.06212,https://ror.org/046rm7j60,"University of California, Los Angeles",False Negative (missed),['https://ror.org/046rm7j60'],"['https://ror.org/00e73ws79', 'https://ror.org/03qgg3111']"
2311.01494,https://ror.org/02gh4kt33,Italian Institute for Astrophysics (INAF),False Negative (missed),"['https://ror.org/02y3ad647', 'https://ror.org/02gh4kt33', 'https://ror.org/04mhzgx49', 'https://ror.org/00f54p054', 'https://ror.org/02kpeqv85', 'https://ror.org/05dxps055', 'https://ror.org/01dq60k83', 'https://ror.org/03v76x132', 'https://ror.org/047s2c258', 'https://ror.org/00cv9y106']","['https://ror.org/05vf0dg29', 'https://ror.org/05dxps055', 'https://ror.org/05bxb3784', 'https://ror.org/04teye511', 'https://ror.org/0171mag52', 'https://ror.org/01hfpy566', 'https://ror.org/02y3ad647', 'https://ror.org/04t4pcw17', 'https://ror.org/03n4ayy20', 'https://ror.org/01ryk1543', 'https://ror.org/03gtdcg60', 'https://ror.org/04m24yn62', 'https://ror.org/02hnp4676', 'https://ror.org/00sgdxg36', 'https://ror.org/02v51f717', 'https://ror.org/017hkng22', 'https://ror.org/02kpeqv85', 'https://ror.org/01dq60k83', 'https://ror.org/04hx2r306', 'https://ror.org/04eyc6d95', 'https://ror.org/00pwqz914', 'https://ror.org/0526p1y61', 'https://ror.org/04g2pxh42', 'https://ror.org/047s2c258', 'https://ror.org/027k65916', 'https://ror.org/04mhzgx49', 'https://ror.org/00f54p054', 'https://ror.org/01whksa54', 'https://ror.org/01sjwvz98', 'https://ror.org/046a9q865', 'https://ror.org/052rrw050', 'https://ror.org/00cv9y106']"
2311.09717,https://ror.org/02gh4kt33,Italian Institute for Astrophysics (INAF),False Negative (missed),['https://ror.org/02gh4kt33'],"['https://ror.org/04d23a975', 'https://ror.org/03n4ayy20', 'https://ror.org/027ka1x80', 'https://ror.org/01111rn36', 'https://ror.org/03ht1xw27', 'https://ror.org/04tbt8b85', 'https://ror.org/02p77k626']"
2311.03108,https://ror.org/00hx57361,Princeton University,False Positive (wrongly predicted),['https://ror.org/02en5vm52'],"['https://ror.org/02kvxyf05', 'https://ror.org/04xfq0f34', 'https://ror.org/048zxak11', 'https://ror.org/02en5vm52', 'https://ror.org/02feahw73', 'https://ror.org/00hx57361']"
2311.13332,https://ror.org/00jjx8s55,Commissariat à l’Énergie Atomique (CEA),False Negative (missed),"['https://ror.org/00jjx8s55', 'https://ror.org/029brtt94', 'https://ror.org/02jbv0t02', 'https://ror.org/03rp50x72', 'https://ror.org/04jsz6e67', 'https://ror.org/03t78wx29', 'https://ror.org/03angcq70', 'https://ror.org/02kkvpp62', 'https://ror.org/01ggx4157', 'https://ror.org/05n3dz165', 'https://ror.org/02956yf07', 'https://ror.org/03p74gp79', 'https://ror.org/02yhj4v17', 'https://ror.org/01an7q238', 'https://ror.org/00hj54h04', 'https://ror.org/0281dp749', 'https://ror.org/001tmjg57', 'https://ror.org/040af2s02', 'https://ror.org/04cvxnb49', 'https://ror.org/03v76x132', 'https://ror.org/03xjwb503', 'https://ror.org/057zh3y96', 'https://ror.org/04pp8hn57', 'https://ror.org/02k7v4d05', 'https://ror.org/01xtthb56', 'https://ror.org/02rx3b187', 'https://ror.org/038t36y30', 'https://ror.org/00pd74e08', 'https://ror.org/03a1kwz48']",['https://ror.org/01ggx4157']
2311.00078,https://ror.org/05p8z3f47,Purdue University,False Negative (missed),['https://ror.org/05p8z3f47'],"['https://ror.org/01t8fg661', 'https://ror.org/036266993', 'https://ror.org/02dqehb95', 'https://ror.org/03gq8fr08', 'https://ror.org/0257kt353', 'https://ror.org/01qz5mb56', 'https://ror.org/04q95ej23', 'https://ror.org/020f3ap87']"
2311.12152,https://ror.org/046rm7j60,"University of California, Los Angeles",False Positive (wrongly predicted),['https://ror.org/01an7q238'],"['https://ror.org/046rm7j60', 'https://ror.org/01an7q238', 'https://ror.org/05cvd4x54', 'https://ror.org/00e73ws79']"
2311.06033,https://ror.org/0566a8c54,University of North Carolina,False Negative (missed),"['https://ror.org/0566a8c54', 'https://ror.org/00rcxh774']","['https://ror.org/04tj63d06', 'https://ror.org/00e73ws79', 'https://ror.org/059dkdx38', 'https://ror.org/021018s57']"
2311.13653,https://ror.org/01yc7t268,Washington University in St. Louis,False Negative (missed),['https://ror.org/01yc7t268'],['https://ror.org/00e73ws79']
2311.11979,https://ror.org/00jc20583,University of Colorado,False Negative (missed),['https://ror.org/00jc20583'],"['https://ror.org/02ttsq026', 'https://ror.org/04d5vba33']"
2311.04709,https://ror.org/00hx57361,Princeton University,False Negative (missed),['https://ror.org/00hx57361'],"['https://ror.org/02nx5r318', 'https://ror.org/04wbsq162']"
2311.16503,https://ror.org/0566a8c54,University of North Carolina,False Negative (missed),"['https://ror.org/02bfwt286', 'https://ror.org/03vek6s52', 'https://ror.org/042nb2s44', 'https://ror.org/0566a8c54']","['https://ror.org/03vek6s52', 'https://ror.org/02bfwt286', 'https://ror.org/00e73ws79', 'https://ror.org/049wsmj07', 'https://ror.org/0130frc33', 'https://ror.org/00wk2mp56', 'https://ror.org/00hj54h04']"
2311.04856,https://ror.org/046rm7j60,"University of California, Los Angeles",False Positive (wrongly predicted),"['https://ror.org/057zh3y96', 'https://ror.org/00cvxb145', 'https://ror.org/042nb2s44', 'https://ror.org/02gh4kt33', 'https://ror.org/02v6kpv12', 'https://ror.org/024mw5h28', 'https://ror.org/01an7q238', 'https://ror.org/05dxps055', 'https://ror.org/03v76x132']","['https://ror.org/057zh3y96', 'https://ror.org/05sj3n476', 'https://ror.org/042nb2s44', 'https://ror.org/027k65916', 'https://ror.org/024mw5h28', 'https://ror.org/01an7q238', 'https://ror.org/05dxps055', 'https://ror.org/00fbze943', 'https://ror.org/046rm7j60', 'https://ror.org/03v76x132', 'https://ror.org/00y4zzh67', 'https://ror.org/004raaa70', 'https://ror.org/0171mag52', 'https://ror.org/00e4bwe12']"
2311.04856,https://ror.org/02gh4kt33,Italian Institute for Astrophysics (INAF),False Negative (missed),"['https://ror.org/057zh3y96', 'https://ror.org/00cvxb145', 'https://ror.org/042nb2s44', 'https://ror.org/02gh4kt33', 'https://ror.org/02v6kpv12', 'https://ror.org/024mw5h28', 'https://ror.org/01an7q238', 'https://ror.org/05dxps055', 'https://ror.org/03v76x132']","['https://ror.org/057zh3y96', 'https://ror.org/05sj3n476', 'https://ror.org/042nb2s44', 'https://ror.org/027k65916', 'https://ror.org/024mw5h28', 'https://ror.org/01an7q238', 'https://ror.org/05dxps055', 'https://ror.org/00fbze943', 'https://ror.org/046rm7j60', 'https://ror.org/03v76x132', 'https://ror.org/00y4zzh67', 'https://ror.org/004raaa70', 'https://ror.org/0171mag52', 'https://ror.org/00e4bwe12']"
2311.11337,https://ror.org/05591te55,Ludwig-Maximilians-Universität München,False Positive (wrongly predicted),['https://ror.org/02kkvpp62'],"['https://ror.org/02kkvpp62', 'https://ror.org/02v51f717', 'https://ror.org/05591te55']"
